"Version compiled and posted on 04 April, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For real-time updates of the Arctic GRO dataset, please visit: www.arcticgreatrivers.org/data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River,Date,Temp,Cond,Alk,a254,a375,a412,a420,a440,H2O-2H,H2O-18O,DOC,DOC-13C,DOC-14C,DOC-fm,TDN,NO3,NH4,TDP,PO4,SiO2,Na,K,Mg,Ca,As,Ba,Cl,SO4,Li,Rb,Sr,U,F,UTHg,UMeHg,TSS,POC,POC-13C,POC-14C,POC-fm,PON,PON-15N,Sample depth 1,TSS (1),POC (1),POC-13C (1),PON (1),PON-15N (1),Sample depth 2,TSS (2),POC (2),POC-13C (2),PON (2),PON-15N (2)
,MM-DD-YYYY,¡C,µS/cm,mg CaCO3/L,,,,,,,,mg C/L,,,,mg N/L,µg N/L,µg N/L,µg P/L,µg P/L,mg SiO2/L,mg/L,mg/L,mg/L,mg/L,µg/L,µg/L,mg/L,mg S/L,µg/L,µg/L,µg/L,µg/L,µg/L,ng/L,ng/L,mg/L,mg C/L,¶13C (ä),Æ14C (ä),,µg N/L,¶15N (ä),m,mg/L,mg C/L,¶13C (ä),µg N/L,¶15N (ä),m,mg/L,mg C/L,¶13C (ä),µg N/L,¶15N (ä)
Ob',6/6/12,11.2,104,31.6,0.378,0.078,0.045,0.04,0.031,-107,-16.2,10.3,-27.1,33.8,1.042,0.48,85,30,49,27,4.2,4.64,0.88,2.8,10.9,0.5,12,,,1.77,0.57,64,,,7.528,0.036,38,1.3,-30.1,,,178,5.1,,,,,,,,,,,,
Ob',8/22/12,15.2,,73.2,0.314,0.053,0.03,0.026,0.019,-98,-13.8,9,-25.8,-67.6,0.939,0.35,2,10,102,40,4.3,8.44,1,5.19,23.5,1.29,20,,,2.95,0.55,133,0.46,,2.821,0.017,9,0.5,-29.5,,,137,4,,,,,,,,,,,,
Ob',10/25/12,3.8,,76,0.274,0.059,0.037,0.034,0.027,-101,-14.1,7.9,,,,0.46,113,54,48,25,7.5,8.24,0.9,5.53,23.1,0.75,18,,,3.06,0.56,131,0.45,,3.434,0.018,10,1.1,-29.8,,,121,4.3,,,,,,,,,,,,
Ob',12/8/12,0,,75.6,0.299,0.062,0.038,0.035,0.028,-97,-14.5,8.4,-28.9,-28.5,0.979,0.59,186,133,64,27,10.9,9.69,0.98,5.7,24.3,0.7,16,,,3.36,0.56,137,0.39,,2.338,0.015,7,1,-25.9,,,62,4,,,,,,,,,,,,
Ob',1/3/13,0,,71.8,0.252,0.051,0.032,0.029,0.024,-110,-15,7.3,-28.7,-62,0.945,0.74,266,189,69,30,12.9,9.24,0.96,5.41,22.3,0.57,12,,,3.17,0.63,128,0.18,,6.922,0.034,8,1.2,-30.2,,,69,1.3,,,,,,,,,,,,
Ob',3/24/13,-0.1,,118.1,0.133,0.026,0.018,0.017,0.015,-109,-15.5,4.5,-29.9,-124.7,0.882,1.03,195,565,37,30,16.2,12.05,1.31,8.49,37.9,0.37,13,,,4.17,1.01,223,0.68,,9.384,0.074,10,1.1,-34.8,,,86,-3.6,,,,,,,,,,,,
Ob',5/26/13,5.5,,60.6,0.229,0.048,0.029,0.026,0.021,-124,-17.2,,-28.7,3.9,1.012,,,,33,20,7.2,7.54,1.27,4.83,21.1,0.29,19,,,2.66,0.94,123,0.46,,7.771,0.039,38,1.3,-29.8,,,203,3.1,,,,,,,,,,,,
Ob',7/13/13,18.5,106,42.6,0.457,0.08,0.043,0.038,0.028,-112,-16,16.6,,,,,33,10,45,22,,4.85,1.23,3.25,14.3,0.79,19,,,2.12,0.7,84,0.11,,3.535,0.038,23,1.2,-30.3,,,156,4.7,5,19,1.2,-30.4,156,5.8,,,,,,
Ob',9/25/13,7.8,170,79.3,0.183,0.033,0.021,0.019,0.016,-108,-14.7,7.4,,,,0.29,3,32,28,12,,7.32,0.96,5.41,24.1,0.69,21,,,2.89,0.56,134,0.63,,4.38,0.028,28,2.2,-29.7,,,167,7.3,5,23,1.5,-31.1,197,3.7,,,,,,
